comment,polarity
Pori Moni is still unmarried,1
Where is ADC Saklainsdeep love to the actress ,1
When we celebrate marriage ceremony  of  Pori Moni and ADC Saklain,1
পরিমনির জামিন নিয়ে প্রথম আলো যেন একটু বেশিই উদ্বিগ্ন কিসের ভিত্তিতে জামিন দেয়া হলো তা যদি বিস্তারিত লিখতেন,1
I feel shy to coment anything about this hated issue,1
পরমণীর ইস্যুতে যখন অসন্তোষ দ:ানা বাধছে হাইকোর্টের তখনই হুশ হল  এ র আগে পরিমণী গ্রেপ্তার বার বার রি মান্ড  এক ব্যটেলিয়ান সৈন্য নিয়ে পরিমণীর উপর ঝাপিয়ে পড়া  আসামী গ্রেপ্তারে হাইকোর্টের নির্দেশনা ভংগ এ সব কারনে হাই কোর্ট আগেই স্যুয়োমটো দিতে পারত  সমস্যা টি হয়েছে একটা দেশের সর্ববোচ্চ আদ:ালতকে চলতে হয়  বাইরের চাপে,1
তোমার যে কিছছু হবে তা বিচক্ষণ দেশবাসী সবাই জানেআর একই নাটক কত বার দেখবোযে কোন নাটকের শুরু শেষের কাহিনী একই   তোমার জায়গায় যদি কোন নিরীহ মানুষ থাকতোকবেই তার লীলাখেলা শেষ হয়ে যেত,0
Actor siam and director choyonika chowdhury are dancing now🤣🤣🤣,0
What now Call mother and  maybe get a license to sell drugs withoutbthese hassles,0
দেখেন রাতের মধ্যে আরএকটি কেস দিয়ে আটকে রাখা হবে হয়ত,1
পরিমনির ঘটনা প্রমাণ করে সেকুলারদের হাতে নারীর সম্মান ও অধিকার সুরক্ষিত নয়,1
Where is ADC Saklain,1
শুভকামনা রইল,1
ভারসাম্য জীবনে অনেক গুরুত্বপূর্ণ এর অভাবেই প্রায় সবাই তার ভুলের সুযোগ নিয়েছে বিত্ত আর খ্যাতি বিপদ থেকে রক্ষা করতে পারে না - অভিজ্ঞতা আর বুদ্ধিমত্তার মূল্য অপরিসীম এই ঘটনা থেকে শিক্ষা নিলে হয়তো একদিন পরীমনি হয়ে উঠতে পারে অনেক গুনী মানী,1
দুধের মাছি,0
পরীমনি আজ জামিন পেয়েছেন এখন কত মিষ্টি মিষ্টি বানী ঝারবেন বেচারি র সাথে কাশিমপুর কারাগারে দেখা করতে গিয়েছিলেন যত্তসব ফালতু talk 😡😡,0
পরির বাসায় অভিযান পরিচালনাকারী বাইনশৃংখলা বাহিনীর অফিসারদের রিমান্ডে যদি নেওয়া যেতো তাহলে উদ্ধারকৃত এলএসডির মূল উৎস সম্বন্ধে প্রকৃত তথ্য পাওয়া যেতো আর সবকিছুর পিছনে নাসির সাহেবের কত  লেনদেন হয়েছে সেটাও জানা যেতো,1
Jonab/Jonaba apni ki giyesilen,0
সচেতন নাগরিক kokhono judgemental hoye montobbo korena asha kori ingit ta bujhtey parsen Na parley iodine jukto lobon khan ,1
বিপুল মদের বোতলসহ গ্রেফতার হওয়া এবং জামিন নিয়ে মিডিয়া যা করল এতে পরিমনির আগামীতে আরো হিট হবে তাতে কোন সন্দেহ নেই আগামীতে পরি মিডিয়া কর্মিদের ধন্যবাদ দিবেন কারণ  তারাই পরির ক্যারিয়ার এগিয়ে দিলো এবং  দেশ বিদেশে পরিচিতি বহুগুন বাড়িয়ে দিলো,0
আচরন বেয়াদব হলে সমাজের মানুষের উপর প্রভাব পড়ে ফলে যে কোন সময় বিপদ আসে যেমন- পরিমনি,0
না পাওয়ার কোনো কারণ দেখিনা তাকে নিয়ে যথেষ্ট টানাটানি হয়েছে এবার ক্ষান্ত দেয়া উচিত রাতের রাজারা সব নিরাপদে ওকে নিয়ে টানা হেঁচড়া,1
অনেক নির্দোষ আসামীর ক্ষেত্রে আইনজীবীদের এত তৎপরতা দেখা যায় না পরিমনি যেমন ভাইরাল হতে চায় তার আইনজীবীরাও সব ভাইরাল হতে চায়,1
ঘটনার পরদিন পরীই লাইভে এসে অন‍্যদের দ্রুত এরেস্ট করায় পুলিশকে ধন‍্যবাদ দিয়েছিলেন এবার জামিন পেয়ে লাইভে কি পুলিশকে কিছু  দিবেন,1
ওসামা বিন লাদেন সাত খুনের আসামি বা বাংলা ভাই দের আগে পিছে ও এতো পুলিশ থাকত কিনা সেটা একটা প্রশ্ন ,1
নিরপেক্ষ তদন্ত করে দোষী হলে সাজা হোক আর দোষী না হলে মুক্তি পাক এটাই চাওয়া,1
পত্রিকায় ও টিভিতে নিউজ হবে শো ডাউনের একটা বিষয় আছে না বাংলাদেশ এখন অনেক উন্নত পুলিশ প্রশাসন কতটা গুরুত্বপূর্ণ দায়িত্ব পালন করছে ভিআইপি সার্ভিস দিচ্ছেন সেলিব্রিটিকে সবকিছুতে কিপটামী করা ভালো না আংকেলের একটা দায়িত্ব আছে না,1
Congratulations to her Appreciate her fighting spirit Now law should operate on its own way,1
আমি বাংলা মুভি লিখা শুরু করছি  পরীমনি…এক ডানা কাটা পরীর কাহিনি,1
বাহ কত নিরীহ লোক কে সাধারন মাদকের জন্য ফাসি দিচ্ছে ৷ আর পরিমনি এলএসডি সহ ধরা খেয়েও জামিন পায়,0
আশা করি পরীমনি তার উপর নির্যাতন ও হয়রানি নিয়ে মুখ খুলবেন,1
মনে হচ্ছে বাংলাদেশের পুলিশ বাহিনী অনেক ফ্রি তাদের তেমন কোন কাজকর্ম নেই  তানাহলে পরীমনির পিছে এতো পুলিশ কেন সে তো দেশদ্রোহী দাগী আসামী বা জঙ্গী কোন সংগঠনের সদস্য না,1
এটা কোন গরম খবর না এক্টা বে কে নিয়ে বাংলাদেশের জনগনের কোন মাথাব্যাথা নাই,0
Lol settlement agreed,0
Problem is in the Head no use blaming Nails and Toes,0
যে আইনে ওকে গ্ৰেপ্তার করা হয়েছে তার সর্বোচ্চ শাস্তি নাকি ১০০টাকা জরিমানা আগে আইন শক্ত করুন যাতে এইসব সামাজিক অপরাধ রোধ করা যায় কিন্তু এতো পুলিশ ওখানে ব্যবহার করে কি রাষ্ট্রীয় সম্পদের অপচয় হলো না যাক একটা নাটকের অবসান হলো তাতেই আমরা খুশি,1
আইন ও বিচারের স্বচ্ছতা চায় জনগন শুধু পরীমনি নয় সবাই পুলিশ যাতে মাদক দিয়ে মিথ্যা মামলা করতে না পারে সে নিশ্চয়তা চায় মানুষ,1
কেন পরীমনিকে গ্রেফতার করা হল কেন এত নাটক করা  হল অল্প বা বেশি বাংলাদেশের সুনাম নষ্ট হয়েছে,1
শুধু নারী হওয়ার কারণেই এমন হ্যারাজমেন্টপুরুষালি সমাজ নারীকে নিয়ে মুখরোচক নিউজ করতেও আনন্দ পায়উনি একজন পুরুষ হলে বহু আগেই জামিন পেতেন,1
